,Title of Work,Type,Status,SiteAddress,URL,PhotoURL,Neighbourhood,DescriptionOfwork,YearOfInstallation,geo_point_2d
329,Haida Eagle and Frog Totem Pole,Totem pole,In place,940 Seymour Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=391,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7ee711c74f61b3e22d725e41b1088e89,Downtown,"The 8 foot pole is carved on all sides and features a large eagle holding a frog between its wings. A smaller eagle is on top. The piece was designed by Reid and carved in his studio in 1986-1987 by Tim Boyko, Bill Bellis, Don Yeomans, and Doug Zilkie.",2002,"49.279305, -123.120407"
330,CuTArT Crossroads: Community Seat,Site-integrated work,In place,12th Avenue and Garden Drive,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=393,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5c08893c1cba562809832c9b65b69d1e,Kensington-Cedar Cottage,The artist used heritage granite curbs from the 1920s to create this seating installation. Commissioned by Rapid Transit Project 2000 for the City of Vancouver Central Valley Greenway as part of the Millennium SkyTrain.,2003,"49.260258, -123.0582"
332,Three Watchmen,Sculpture,In place,4655 Valley Drive,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=400,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/fe7371a5a8547bacbadffb342cfa0542,Arbutus Ridge,This black bronze sculpture 14' high and 4' wide represents three crouching human figures wearing exceptionally high hats.,2003,"49.244637, -123.1518"
333,Tribute to the Cambie Works Yard,Site-integrated work,In place,700 National Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=401,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/73f2e032ad02372b24d5ad60bce0d658,Strathcona,"A transparent film is applied to the glass on the sliding doors of the meeting room off the main lobby, creating a panorama in sections. The images are drawn from photographs of the layers of marking on the asphalt of the old Cambie Work Yard. Many different employees over the course of many years, contributed to the patterns of white and yellow dashes, circles, and lines as a result of testing the line-painting equipment. Isolated and blown up they become abstract images with cryptic symbols and letters. The panoramic image is complete when the doors are closed, and layered when open.",2004,"49.273792, -123.0927"
334,Red Horizontal,Site-integrated work,In place,David Lam Park Extension,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=410,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/23b69fb0b533d4da24e620621c3d05b9,Downtown,"""Red porcelain enamel panels are embedded in the upper portion of concrete benches that run along a portion of the seawall in the North False Creek neighbourhood. In cooperation with area residents, photographs were taken of the interior spaces of the apartments, condominiums, lofts or seniors' housing. These photographs were then arranged into a number of different sequences and appear as transparent halftone images layered on the red panels. A total of 257 photographs appear in the work, 29 of which are repeated. The photographs of the residences were taken in the spring and summer of 2004."" - the artist",2005,"49.271763, -123.125023"
337,day off - night out,Site-integrated work,In place,Cambie Street between 17th and 19th Avenues - both East and West sidewalks,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=433,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/358704801ea5d277d2c26b25a5bdd9a9,South Cambie,"Thirty stainless steel embedded plates.  Two images: one of a place setting and the other of a film reel.  Both surface finishes are reflective, each catching the light differently depending on the daylight conditions.",2008,"49.256044, -123.1151"
338,walking the line,Site-integrated work,In place,455 West 8th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=435,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/37205f645934969a44c7e9e22a6da07e,Mount Pleasant,Integrated work — six sculptural grates for fresh air intake vents for underground parking.,2008,"49.264171, -123.1138"
340,Monument for East Vancouver,Sculpture,In place,Clark Drive at East 6th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=441,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/8f4517d81ac15e21ef22e8ebe9bb1c69,Grandview-Woodland,Freestanding illuminated sculpture,2010,"49.265426, -123.077613"
341,Aerodynamic Forms in Space,Sculpture,In place,Georgia Street entrance,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=445,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d48111fd909eac16f2c82e4f107d2fa3,West End,"A major figure in Canadian and international contemporary art, Vancouver artist Rodney Graham is well known for his conceptual and often humorous sculptures. His piece for the Georgia Street entrance to Stanley Park, a spectacular 400-hectare evergreen oasis in the downtown peninsula, is a 35 foot abstract stainless steel sculpture that replicates a balsa wood toy glider set; abstractly assembled as a modern sculpture. The work includes an impression of the twisted blue elastic band that would be used to power the glider, a propeller that slowly turns in the wind and wheels that whimsically bob.",2010,"49.294667, -123.13608"
343,Walk In/Here You Are,Site-integrated work,No longer in place,350 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=449,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/2ce44fa1e285272957321e225cc3eee4,Downtown,"Vancouver artist Christian Kliegel’s architecturally inspired structure on the Vancouver Central Library’s north plaza serves as an open-air theatre for Here You Are, an outdoor exhibition of video, still and performance works by local artists. Curated by Cate Rimmer, curator for the Charles H. Scott Gallery at Emily Carr University of Art and Design, the installation will feature six different exhibition programs during 2010.

Walk In/Here You Are explores ideas of presentation and location. It invites visitors to interact with the installation’s physical components and to use it as an outdoor social space while viewing works by both established and emerging Vancouver artists.

Part One of the exhibition explores themes that indirectly relate to the Olympic and Paralympic Games: spectacle, promotion, endurance, camaraderie and physicality. Artists include Stan Douglas, Jamie Hilder, Shannon Oksanen, Håvard Pedersen, Laura Piasta and David Catherall, Kevin Romaniuk, Jeremy Shaw and the performance group, Weekend Leisure (Erich Gerl, Curtis Grahauer, Christy Nyiri, Pietro Sammarco).",2009,"49.279698, -123.115556"
344,Boulevard,Site-integrated work,In place,"Cambie, Hamilton and Mainland Streets",https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=451,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b3179ad8477653e4b7d19714de8c8cd2,,"Canadian artists Adrian Göllner and Pierre Poussin created three artistic lighting schemes for the Cambie Street corridor and Yaletown. Both are recognized for site-specific works that incorporate a variety of mediums and contrasting materials to animate environments. For this Vancouver installation – and their first collaboration - the duo developed decorative, playful street lighting elements to provide a sense of place for visitors.

Fireworks Boulevard is a series of LED fireworks between King Edward and 12th on Cambie Street. Rain Barrels , in Yaletown, on Mainland Street, are a series of cool blue animated LED barrels in which the lights sequence similar to a Vancouver rainfall. Flames, is a set of candle-like LED lights.",2009,"49.275046, -123.121383"
345,Surface,Media work,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=452,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/527d939570a345df7952ef7732cd5b45,Fairview,"Surface is a live documentary of the underwater life of False Creek, transmitted from a camera mounted under an aquabus (a small commuter ferry). The submerged camera feeds streaming video 24 hours/day directly to www.surfacer.ca and to a TV monitor mounted inside the boat, which people can watch while riding the ferry. The live footage can also be seen on screens at various locations on Granville Island. 

The live stream functions as an abstract mix of colours and impressions, until crustaceans or fish swim by. After dusk, Surface takes on a more intimate world, when tiny crustaceans, larval animals and eels can be seen. During the term of its installation, Vancouver artist Fiona Bowie hopes to track the health of False Creek’s marine life as evidence of our collective footprint.",2010,"49.271127, -123.133831"
346,Flow,Site-integrated work,In place,1 Kingsway,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=457,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/26ce4c6a39adcf177bd9a04e5a3590b5,Mount Pleasant,"Flow is Vancouver&#39;s first photo/media-based permanent public art work. A daily Flow concept developed by Fiona Bowie and Sidney Fels, based on using various components, such as time of day and weather, partially influences the behaviour of how images in the work appear. A system custom-designed by Bowie and Sidney Fels with Morgan Hibbert allows figures shot at different times to appear as if they are simultaneously present with a core group of these figures or actors recurring in a manner that implicitly suggests they&#39;re part of a larger narrative. Over the course of the day and night, Flow shifts between live and constructed or theatrical tableaus. During the early morning and after dusk Flow presents as a continuously changing tableau in which hundreds of photographic portraits and landscapes, shot by Fiona Bowie over a number of years, are blended and projected onto a special projection material, switch glass. As viewers come close to the image, the switch glass causes portions of the imagery to disappear as the surface of the glass panels &#39;switch&#39; from translucent to clear.  The scenes in Flow change every two to four minutes. The transitions from one scene to another are so slow that the work has been described as having a dream-like or hallucinatory quality. Because the projection system constantly varies the scale of images (between life size and zoomed in), a particular shot of a particular character may vary from scene to scene, seemingly either fore-grounded or backgrounded. During daylight hours, Flow&#39;s dynamic glass projection surface creates viewing portals, framing details of the activity inside and outside. This provides individuals inside with shifting views and details of the street (these views change according to their proximity to the street) and passersby are able to view activity going on inside the building.

Credits:


\tDeveloped Daily Flow concept (crows, weather): Fiona Bowie, Sidney Fels
\tInitial daily flow concept: Fiona Bowie, Sidney Fels, with Rebecca Belmore
\tPhotography and moving image, locations: Fiona Bowie
\tImage selection, Editing, Photography Post: Fiona Bowie
\tPortrait/Character/friend Diegesis: Fiona Bowie
\tSystem design: Sidney Fels, Fiona Bowie, Morgan Hibbert
\tCoding: Morgan Hibbert and Sidney Fels
\tSlow transitions, disappearing image/ switchglass concepts: Fiona Bowie
\tWebsite concept: Fiona Bowie 
\tWebsite markup and design: Fiona Bowie 
\tPut words in our mouths archive: Kay Higgins
\tProject and crew management: Fiona Bowie
\tLive switchglass execution and cam: Sidney Fels, Morgan Hibbert",2009,"49.264032, -123.100272"
348,Sacredness of Four,Sculpture,In place,3350 Victoria Drive,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=460,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/ce03515d863e64f75a42d1dab92b4dd3,Kensington-Cedar Cottage,"Water-jet cut granite mounted on stainless steel, this work features designs based on the sacredness of things in four: four directions (north, east, west, south); peoples of the world then coming together from these four directions; four seasons; four stages of life (infant, youth, adult and elder).",2010,"49.255147, -123.065904"
349,Go! A Temporary Gallery for Permanent Change,Site-integrated work,No longer in place,39 East Pender Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=468,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/1bb55aa5648601d9250281e37b77f108,DowntownEastside,"Installation of a canopy of assembled lanterns, made out of umbrellas each cp illuminated with red LED transform magically at dusk from white to deep red.",2010,"49.280702, -123.103328"
350,Nighthawk Aboriginal Arts & Music Festival,Other,No longer in place,149 East Waterfront Road,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=470,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c0695898340482a07c56f8e5ec77026c,DowntownEastside,A one-day event celebrating traditional and contemporary indigenous art. It was produced by the Downtown Eastside Centre for the Arts.,2010,"49.285291, -123.0978"
351,I said no,Two-dimensional artwork,No longer in place,149 West Hastings Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=475,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b64934e2f0daee9ed6a8a7f1e34648af,DowntownEastside,"Vinyl panels on each window section, with text",2010,"49.282788, -123.107762"
354,Plaza,Site-integrated work,No longer in place,1128 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=507,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/435b6997e6ee345eba303df82e17d91b,West End,"""Heather and Ivan Morison explore architecture as it relates to ideas of fantasy, escape, sheltor and refuge. For Offsite, Plaza, they created a pavilion which hovers between sculpture and architecture. The walls were made of heavy timber beams, burnt to a dark charcoal using a Japanese technique for preserving and protecting wood from the elements called shou-sugi-ban.""  - Offsite, Vancouver Art Gallery Website",2010,"49.285396, -123.1221"
355,Nothing Happens in Good Weather,Mural,No longer in place,6204 Fraser Street at 46th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=515,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/37438e88b16fc3d1868c1ab931ccdac7,Sunset,"""Nothing Happens in Good Weather"" is a short-term public art project that activates a narrow empty lot on a busy section of South Fraser Street. With wide stripes and strident colour, what was once a gap in the streetscape has been transformed into an aesthetic and social space. The mural runs down one wall, across the ground plane and rakes up the opposite wall.",2011,"49.228129, -123.090289"
356,Cat & Mouse,Mural,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=516,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/2e1b2b6244b09c84b0633a8fe69eab4c,Downtown,Cat &amp; Mouse consists of three large scale texts work on glass applied using adhesive vinyl.​,2012,"49.282685, -123.1181"
357,A False Creek,Site-integrated work,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=519,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/e8fc5ce9b8d66df18fdc1791c28df82e,Fairview,"Painted chromatic blue stripes, applied to ten Cambie bridge pilings and fifteen lampposts along seawall. The stripe pattern starts at ground level, and runs up each piling and lamppost to a point that is five meters above sea level.",2012,"49.272544, -123.114779"
358,Vectorial Elevation,Media work,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=525,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/31237a260f72c497d44a8e8c1e13e4f7,West End,"Vectorial Elevation, an award winning installation created by Canadian artist Rafael Lozano-Hemmer, created a quiet canopy of moving lights in the night sky above English Bay during the period of February 4-28, 2012. Viewers were invited to choerograph the installation's 20 robotic lights over the internet to create their own patterns. The designs changed every eight seconds, and the light sequences were visible from 15 kilometres away.Co-commissioned by the City of Vancouver and Vancouver 2010 Cultural Olympiad, presented by Bell, with support from the Province of Quebec. Developed in consultation with the Vancouver Board of Parks and Recreation, Vectorial Elevation is part of CODE: the 2010 Cultural Olympiad's digital edition, an 18-day digital arts event at venues and locations throughout the city.",2010,"49.286341, -123.1435"
361,Century Winds of Change Mural,Mural,In place,11 West Pender Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=552,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/81dcd3235c7cffdb1a7109bd11a66e21,DowntownEastside,"""This mural paints a picture of key times within the Millennium span from 1881 to 1996. This mural outlines the struggles & perseverance of Chinese Canadians in Canada. From Military Soldiers to Members of Government this mural shows the key people and situations that formed the local Chinese Culture & Chinatown Vancouver, as we know them today. The mural includes key Chinese - Canadian figures such as:
-       Dr. Sun Yat-Sen (Father of modern China)
-       Wing Wing (Military Soldier from WWII)
-       Cam Yow Won (First Canadian-Born Chinese citizen to Vote)
-       Douglas Jung (First Chinese Federal legislative member)
-       David D. Lam (First Chinese Governor of British Columbia)"" - Information obtained from website: http://www.mycrosstown.com/Centurys-winds-of-change-mural-Chinatown-Vancouver.ubr",2001,"49.280788, -123.104816"
362,Russian Hall Mural,Mural,In place,600 Campbell Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=560,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/9a691f9cd169abbe1fc1a6b103fbca80,Strathcona,"This mural covers three walls of the building, a painted area of about 5000 square feet.",2009,"49.27911, -123.0847"
364,Through the Eye of the Raven,Mural,In place,456 East Hastings,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=564,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/a72e83da329e7c68127c6a4151f34053,DowntownEastside,,2010,"49.280916, -123.094182"
366,"Time to Let Go…,",Site-integrated work,No longer in place,1128 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=576,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/ec295694bad2231724a11b00d2944852,West End,,2014,"49.285762, -123.123947"
368,Reconciliation,Media work,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=579,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/8f4744673b26244c43b0a0a739cb69bc,,1 minute digital video,2014,"49.281374, -123.1197"
371,RestART Mural,Mural,In place,1687 Nanaimo,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=586,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/ebcd8766e7e8d7a013f7804fd06967bc,Grandview-Woodland,"The Grandview-Woodland Community Policing Centre worked with support of the Celebrate Vancouver 125 Mural Program to deliver a RestART mural at East 1st Avenue and Nanaimo Street with the goal of offering creative alternatives for youth formerly involved in the graffiti subculture, as well as for property owners plagued by graffiti. Working with the youth engaged in this project, the artist mentor created a design to incorporate symbols not only of personal significance in the lives of individual youth participants and their decision to leave behind a lifestyle of illegal graffiti, but to also offer a more wide-ranging meaning to the greater community. Imagery includes the crow, an upturned hand, and a lotus flower.",2011,"49.269617, -123.057158"
372,Fusion,Sculpture,In place,70th Avenue & Cornish Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=589,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c30f3bbc5f70d8a7407ca6303c97ed49,Marpole,"This sculpture sits in the heart of Marpole, one of Vancouver’s oldest residential neighbourhoods; it also sits on traditional Musqueam territory.  The Musqueam people have lived on their traditional territory – the land and waters now known as the lower mainland of BC encompassing the greater Vancouver region – for several thousands of years.  One of Musqueam’s most sacred sites, the Great Fraser Midden, is located just south of this site.

The sculpture was conceived by the artist to acknowledge this rich cultural history, the history of the Coast Salish people, and to (re)introduce the residents of this community to their neighbour ~ the Musqueam people.

The 14’ high water-jet cut aluminum sculpture, powder coated in copper and silver paint, is a contemporary Coast Salish design depicting salmon and river grass, which are representative of the Coast Salish people, and the Musqueam people in particular, and the salmon, once found in abundance in the nearby Fraser River.",2014,"49.208554, -123.1421"
373,Land and Sea,Site-integrated work,In place,8555 Granville Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=595,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7d516e564dde692acfde8814689412fb,Marpole,"Contemporary Coast Salish designs come to life in two light boxes, over 4-storys each, installed on the copper facades facing inwards to the central plaza at 8555 Granville Street.   Designed by brother and sister team, artists Thom and Kelly Cannell, the panels tell a contemporary tale about their homeland, and depict creatures of the Land (green) and the Sea (blue).  Each light box is shaped as a fragment of a circle,  the shape of a spindle whorl which was utilized when spinning the yarn used in Coast Salish weaving.  (Examples of Musqueam weaving can be seen in the display case in front of the Safeway store along Granville street).  

Creations in weaving have been passed down for countless generations.  The artists’ grandmother, Edna Grant, was taught to weave by her mother, who was taught by her mother, and so on. Her designs could be recognized up and down the coast.  Not unlike a crest, weaving designs symbolize lineage.  This is true in carving, weaving, painting, and dancing.  

The artists are proud of this legacy and acknowledge it in this artwork.",2014,"49.209415, -123.141154"
374,Transformation Plant,Site-integrated work,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=608,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/aa63e2dbfab0103c0c88be090c732e30,Shaughnessy,"Fabricated in situ by New Zealand artist Chris Booth as part of Earth Art 2012, nac̓θətəɬp “Transformation Plant” was created in consultation with elders and key members of the Musqueam Indian Band who also bestowed its name.

nac̓θətəɬp “Transformation Plant” is a collaboration with nature and community – living earth art. 

Musqueam elders advised that the small juvenile tree planted in the center should be the highly revered western red cedar. Over the years, as the fungi breaks down the stacked wood recycling it into humus, the red cedar will flourish into a beautiful tree while the stone slabs (‘petals’) will slowly open up like a flower.",2012,"49.239068, -123.134604"
375,The Experience,Site-integrated work,No longer in place,1128 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=620,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/e3c2d318057e4ba4455b0a3c05906df3,West End,"Elizabeth Zvonar conjures romantic sentiment and melancholic undertones in ""The Experience"", a bleached-out collage boldly positioned in downtown Vancouver during the dreary months of winter. Combining materials and strategies used in advertising, the site-specific public artwork draws tangential connections between thoughtful inquiry and advertorial amusement. A pair of sunglasses from a 1970s fashion magazine is placed in the foreground of a celestial landscape from Mars, creating a scene that reads like a postcard from the future. In ""The Experience"", Zvonar continues her practice of appropriating imagery from various sources including advertising, contemporary fashion photography and counterculture media. She amplifies the digital design of her hand-cut collage by dramatically increasing its scale and incorporating lighting effects to produce an environment that shifts from a space of entertainment to one of examination.",2015,"49.285762, -123.123947"
376,RIPPLES,Media work,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=642,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/295b6ebd970c423c2bc8390cd298bcac,Downtown,"Nicolas Sassoon has created three digital abstractions using high contrast black and white animation. At first glance, these may seem like static on old tv sets. The artist plays with this association with the wave-like electrical interference of the past and explores the line between digital and organic patterns.  These allover screen patterns are meant to be immersive encounters with the digital realm while evoking the play of light and dark on the water and the hypnotic visual effect of rain and waves along the coast.",2016,"49.281374, -123.1197"
380,(A Sense of Place),Media work,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=653,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5d046d85aa2cd9a1b1f6e9e8a8790ced,Downtown,"Emilie Crewe’s video seeks to characterize the “personality” of Vancouver by bringing to light the contrasting natural and manmade elements of our city.

In response to use of the city as a stand in for other cities in films and to Gertrude Stein’s idea that “There is no there there,” Crewe’s video attempts to locate Vancouver in the ebb and flow of micro and macro images of this place.",2016,"49.281374, -123.1197"
381,"As our gaze peers off into the distance, imagination takes over reality…",Two-dimensional artwork,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=654,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/f5b844803e56df3873da7fc9ae16865c,Downtown,Site-specific generative composition using photographs.,2016,"49.279931, -123.112"
382,The Unseen,Site-integrated work,In place,601-627 Main Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=656,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/4abcba778055cb38c996fcdedf1b926f,DowntownEastside,"""The Unseen"" is a backlit channel-letter sign affixed to the north façade of the building. ""The Unseen"" is over fifty-five feet and four inches high and composed of mirror-finished stainless steel letters adhered to the top seven floors of the building in a vertical form reading top to bottom.",2016,"49.279635, -123.0997"
383,Ebb and Flow,Site-integrated work,In place,450 SW Marine Drive,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=659,,Marpole,"""Ebb and Flow"" is a 55-meter animated light installation on Marine Gateway's 29th storey south tower façade. It connects us to Vancouver's maritime environment by visualizing the twice-daily rise and fall of the local tide. A glowing white light glides up and down the ""scale"" of the tower, backed in green light as the tide goes out (ebb), then changing to blue as it comes in (flow). As the tide shifts, the faint trail of white light tells you if it is rising or falling. Each two floors of the building represent roughly one foot of tide height.",2015,"49.210483, -123.1158"
384,Peak (Ode to the Lions),Sculpture,In place,1111 Richards Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=664,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/969726b2c33302dbd114edafcba1f374,Downtown,"The public artwork, Peak (Ode to the Lions), consists of a two-part sculpture depicting mountain forms rendered in mirror-finish marine grade stainless steel. The sculpture sits at the front tower entrance on Richards Street at the east of the site. The two pieces are installed facing one another, just above the waterline in the upper tier of the water feature to give the illusion that they are floating. Each piece measures 5&rsquo; 6&rdquo; x 3&rsquo;3&rdquo; x 6&rsquo;. The public artwork is inspired by the constancy, eternity, and stillness of mountains, paying ode to Vancouver&rsquo;s iconic Lions. Recontextualized in an urban environment, they become precious and unexpected jewel-like objects that play off the architecture and activity of the park.

Peak (Ode to the Lions) was commissioned by Brenhill Developments as part of their participation in the City of Vancouver&#39;s Public Art Program for Private Development.",2021,"49.277007, -123.123204"
385,Beatty Street Mural,Mural,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=666,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/459ba5fac0d556ef44f2ab41d967f42f,Downtown,"This mural, created by Vince Dumoulin and other local artists, depicts notable people and landmarks in the City.",2010,"49.28006, -123.1105"
386,WHERENESS,Sculpture,In place,516 West 50th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=667,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/1375fcbceaef2fa3a43b4a4916baede8,Oakridge,"WHERENESS is composed of six aluminum cast boulders with one original ‘glacial erratic’ granite boulder at the base, sourced from the Cambria site, fixed in a tower shape around a steel axis. The work is 20’ high and 4’ in diameter. The aluminum boulders have a natural aluminum colour and protective finish. A concrete slope and foundation topped with loose-fill river rock is at the base of the stone tower.",2016,"49.224892, -123.117143"
388,Solar Vacation,Mural,In place,120 East Broadway,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=675,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b6bae3d1b01ca48156a4283ffc538e75,Mount Pleasant,,2016,"49.262663, -123.102385"
389,Smart Phone Slavery,Mural,In place,221 East 10th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=687,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7bbf56a6c78e12b896dbeb0997c3f14c,Strathcona,,2016,"49.262352, -123.1"
390,Knot Yourself,Mural,In place,237 SOUTHERN STREET,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=693,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/4626b51f054f3dd4677d8eda7ab3fb55,Strathcona,,2016,"49.270913, -123.098821"
391,Coffee Rosetta,Mural,In place,2525 MAIN STREET,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=696,,Strathcona,,2016,"49.262428, -123.101419"
392,Factory Interior,Mural,In place,780 East Cordova,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=697,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/ad286ad70b63bdfcd0d6aa2efca0ced7,DowntownEastside,,2016,"49.281801, -123.087695"
393,I Ate a Whole Raccoon,Mural,In place,780 East Cordova,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=698,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/72bb409025a0cb988c603a6e0927d46a,DowntownEastside,,2016,"49.281801, -123.087695"
